"   Gen   ","   Avg Mass   ","   Avg Width   ","   Avg Density   ","   Avg Armor   ","   Avg Wing Size   ","   Avg Velocity   "
1,130.86127,45.201244,0.19418183,,0.0,911.6292
2,130.5088,46.28377,0.19376034,,0.0,910.3761
3,126.94231,44.068516,0.19344924,,0.0,917.3767
4,125.00989,43.58298,0.19198823,,0.0,921.6464
5,119.67699,41.95083,0.19212593,,0.0,931.4515
6,117.52673,41.47471,0.1918426,,0.0,933.2261
7,118.3795,42.163357,0.19135676,,0.0,935.4653
8,117.767555,41.20324,0.19182883,,0.0,935.02527
9,119.199005,41.674793,0.19315699,,0.0,933.41
10,123.639465,43.056976,0.19268332,,0.0,930.3401
11,122.79622,43.504147,0.19205914,,0.0,929.92395
12,125.784294,44.452576,0.1915211,,0.0,929.439
13,127.317154,44.539936,0.19115473,,0.0,924.8446
14,130.02519,44.993355,0.19019762,,0.0,923.0246
15,133.50987,46.013523,0.18934584,,0.0,923.5731
16,134.43193,46.35938,0.18888067,,0.0,924.5013
17,137.46898,47.88486,0.18705007,,0.0,920.91846
18,139.52261,47.9195,0.18836659,,0.0,922.00867
19,138.56343,48.72255,0.18952462,,0.0,923.0291
20,140.21008,49.036274,0.19027804,,0.0,922.6308
21,138.53288,49.05008,0.1897817,,0.0,922.76807
22,139.33894,49.80462,0.19059134,,0.0,922.75995
23,141.46613,50.211952,0.19164965,,0.0,923.5484
24,142.45905,49.915543,0.18990085,,0.0,922.5516
25,143.67816,49.97938,0.19157884,,0.0,925.06555
26,146.77242,50.68835,0.19281045,,0.0,922.7286
27,142.83615,50.319084,0.19297664,,0.0,925.32947
28,143.32039,50.360275,0.19352992,,0.0,928.77185
29,144.80698,50.151108,0.19294703,,0.0,932.133
30,147.57326,51.063873,0.19400088,,0.0,935.4857
31,151.49028,51.17467,0.19630225,,0.0,943.42535
32,155.21205,51.313778,0.19722335,,0.0,942.97723
33,154.8398,51.46151,0.19730602,,0.0,946.17883
34,153.9089,51.710484,0.19674262,,0.0,950.96356
35,150.51108,50.71964,0.19600102,,0.0,951.70935
36,149.94952,50.29792,0.1954933,,0.0,952.48334
37,147.30328,50.299183,0.19440705,,0.0,950.1708
38,149.96475,50.60069,0.19339874,,0.0,948.6408
39,152.3426,52.627316,0.19305275,,0.0,947.6895
40,152.84865,52.97869,0.19257079,,0.0,945.4533
41,154.46797,53.432964,0.19179985,,0.0,947.75275
42,155.48293,53.369225,0.19126333,,0.0,947.01556
43,154.95003,52.528564,0.19205673,,0.0,946.2362
44,156.82425,53.85842,0.19280036,,0.0,945.72784
45,160.44096,54.979263,0.1915043,,0.0,940.5361
46,158.86696,52.860256,0.19246207,,0.0,940.8219
47,161.85301,53.65426,0.1924751,,0.0,941.1229
48,160.3424,54.36899,0.19064824,,0.0,935.1863
49,160.99457,54.972275,0.1900255,,0.0,937.2494
50,163.63419,55.918663,0.19023725,,0.0,936.2196
51,167.92195,56.90349,0.19102697,,0.0,946.49554
52,164.20595,56.67391,0.18992086,,0.0,944.16736
53,169.50195,57.87043,0.19145107,,0.0,945.36847
54,165.8886,56.275414,0.18882923,,0.0,942.0084
55,165.67241,54.836235,0.18783526,,0.0,946.49225
56,166.97151,56.61303,0.18704262,,0.0,941.0328
57,166.6773,55.925064,0.18572763,,0.0,940.6822
58,164.15224,55.288437,0.18510628,,0.0,939.8368
59,160.04594,56.680386,0.18429437,,0.0,934.5795
60,163.31866,56.47619,0.18527572,,0.0,928.5206
61,161.1676,54.68725,0.18720157,,0.0,934.03894
62,163.05986,56.36472,0.18659349,,0.0,931.41626
63,165.89088,55.50797,0.18740463,,0.0,938.2348
64,162.5166,54.897217,0.18498501,,0.0,940.95355
65,166.8183,54.191277,0.18733366,,0.0,946.8779
66,167.97488,54.448086,0.18909469,,0.0,948.4818
67,170.60774,54.83562,0.18959948,,0.0,952.6796
68,174.5376,55.32341,0.18948998,,0.0,951.9981
69,175.75339,54.56713,0.18921866,,0.0,953.7068
70,177.07867,54.776745,0.19030173,,0.0,961.96954
71,176.01627,55.40091,0.1888493,,0.0,951.99945
72,171.42432,55.605785,0.18751785,,0.0,943.84357
73,175.74945,57.065247,0.18748148,,0.0,938.3183
74,175.46854,58.48311,0.18527494,,0.0,932.2452
75,175.78001,58.841263,0.18442543,,0.0,929.608
76,171.60226,59.69637,0.18483283,,0.0,920.5787
77,169.40457,60.62788,0.18515104,,0.0,921.4906
78,174.31833,59.092995,0.18785147,,0.0,927.2927
79,177.60963,59.215176,0.18743111,,0.0,927.8732
80,174.395,59.884308,0.18652022,,0.0,930.14404
81,177.04688,60.658634,0.18501455,,0.0,923.37195
82,176.27963,59.9777,0.18651538,,0.0,929.48364
83,170.7784,60.78607,0.18329212,,0.0,925.55835
84,171.07085,58.28017,0.18424505,,0.0,931.17145
85,170.4639,59.105415,0.18514878,,0.0,928.42163
86,172.49416,60.13558,0.18645038,,0.0,924.23724
87,169.33324,58.59451,0.18421634,,0.0,929.6077
