"   Gen   ","   Creature ID   ","   Mass   ","   Width   ","   Density   ","   Wing Size   ","   Velocity   "
1,0,136.12646,47.43273,0.19603999,0.0,905.1345
1,1,147.51033,58.45523,0.19919549,0.0,883.08954
1,2,119.800026,41.973522,0.18546343,0.0,916.053
1,3,155.20421,58.32765,0.19237462,0.0,883.3447
1,4,110.9902,40.47415,0.19124015,0.0,919.0517
1,5,122.43429,44.341682,0.18737806,0.0,911.31665
1,6,123.89789,48.63998,0.19786161,0.0,902.72003
1,7,153.51602,47.28244,0.19846396,0.0,905.4351
1,8,106.10753,39.914913,0.19238608,0.0,920.17017
1,9,110.57937,35.51822,0.18784812,0.0,928.96356
1,10,138.66103,36.22458,0.20326799,0.0,927.55084
1,11,139.8243,49.12078,0.19743045,0.0,901.7584
1,12,138.33932,45.195625,0.20114931,0.0,909.60876
1,13,151.12291,53.38908,0.18980408,0.3305276,909.7482
1,14,128.65204,45.399155,0.1964254,0.0,909.20166
1,15,108.85706,36.389034,0.19496238,0.0,927.2219
1,16,119.80997,45.1042,0.19426917,0.37422243,944.30066
1,17,151.23325,39.443047,0.19757518,0.0,921.1139
1,18,123.19994,50.019783,0.20280208,0.0,899.96045
1,19,123.48059,37.9488,0.18690845,0.0,924.1024
1,20,116.08505,48.871758,0.19798489,0.0,902.2565
1,21,151.07086,54.717392,0.20135705,0.0,890.5652
1,22,125.39792,42.46661,0.18923521,0.0,915.0668
1,23,122.2047,41.02899,0.18662027,0.0,917.942
1,24,175.84303,54.170288,0.19745341,0.0,891.6594
1,25,128.86703,41.431095,0.20104238,0.0,917.1378
1,26,134.54094,40.237057,0.19135037,0.0,919.5259
1,27,110.73509,36.766407,0.19587995,0.35023692,943.979
1,28,133.65315,45.013985,0.19290811,0.0,909.97205
1,29,108.93154,37.116505,0.18913537,0.0,925.76697
1,30,133.81651,56.86467,0.19786103,0.0,886.2706
1,31,111.60388,43.872715,0.20161374,0.0,912.2546
1,32,144.76903,48.209633,0.1928264,0.0,903.58075
1,33,118.62758,36.916416,0.19004267,0.0,926.1672
1,34,165.07828,50.346184,0.19807364,0.0,899.3076
1,35,108.61539,36.91164,0.19307686,0.0,926.1767
1,36,120.18143,41.24472,0.18522164,0.0,917.51056
1,37,128.54564,51.08337,0.19218147,0.3146296,913.56476
1,38,149.50394,40.389862,0.20292014,0.0,919.2203
1,39,118.69176,41.572216,0.20008932,0.0,916.8556
1,40,159.5618,45.127308,0.19092122,0.34615472,927.0531
1,41,153.3548,51.95105,0.19705541,0.0,896.0979
1,42,146.20041,41.627907,0.19594379,0.0,916.7442
1,43,125.344,42.444794,0.18938625,0.0,915.1104
1,44,125.66995,50.18388,0.20058227,0.0,899.63226
1,45,111.54197,51.106422,0.18411556,0.0,897.7872
1,46,133.81639,53.54789,0.19074827,0.0,892.90424
1,47,137.02368,47.04805,0.19185898,0.0,905.90393
1,48,104.96893,42.404404,0.1896999,0.0,915.19116
1,49,129.47232,44.794315,0.18905866,0.0,910.4114
2,50,149.99837,53.125458,0.19833836,0.0,893.7491
2,51,125.01924,38.898407,0.18933026,0.0,922.2032
2,52,156.31592,54.87768,0.19416972,0.0,890.2446
2,53,106.616425,39.678402,0.19716038,0.0,920.6432
2,54,129.77869,53.17389,0.18372318,0.3217684,909.74066
2,55,128.33426,50.48928,0.19277622,0.0,899.0214
2,56,125.31054,57.714043,0.18292525,0.0,884.5719
