"   Gen   ","   Food at Start   ","   Food at End   ","   Food Consumed   "
1,500,451,49
2,500,417,83
3,500,407,93
4,500,267,233
5,500,310,190
6,500,235,265
7,500,271,229
8,500,194,306
9,500,207,293
10,500,224,276
11,500,262,238
12,500,249,251
13,500,323,177
14,500,276,224
15,500,287,213
16,500,256,244
17,500,243,257
18,500,213,287
19,500,262,238
20,500,266,234
21,500,234,266
22,500,329,171
23,500,322,178
24,500,273,227
25,500,245,255
26,500,222,278
27,500,213,287
28,500,295,205
29,500,221,279
30,500,220,280
31,500,195,305
32,500,245,255
33,500,235,265
34,500,232,268
35,500,164,336
36,500,276,224
37,500,294,206
38,500,285,215
39,500,172,328
40,500,206,294
41,500,169,331
42,500,171,329
43,500,147,353
44,500,213,287
45,500,161,339
46,500,212,288
47,500,268,232
48,500,266,234
49,500,253,247
50,500,285,215
51,500,182,318
52,500,211,289
53,500,246,254
54,500,239,261
55,500,226,274
56,500,245,255
57,500,241,259
58,500,219,281
59,500,190,310
60,500,172,328
61,500,160,340
62,500,199,301
63,500,234,266
64,500,222,278
65,500,176,324
66,500,226,274
67,500,250,250
68,500,281,219
69,500,280,220
70,500,302,198
71,500,129,371
72,500,209,291
73,500,222,278
74,500,203,297
75,500,230,270
76,500,248,252
77,500,221,279
78,500,250,250
79,500,252,248
80,500,189,311
81,500,156,344
82,500,240,260
83,500,258,242
84,500,300,200
85,500,230,270
86,500,275,225
87,500,296,204
88,500,233,267
89,500,236,264
90,500,192,308
91,500,268,232
92,500,229,271
93,500,209,291
94,500,250,250
95,500,230,270
96,500,170,330
97,500,167,333
98,500,204,296
99,500,200,300
100,500,243,257
101,500,263,237
