"   Gen   ","   Avg Mass   ","   Avg Width   ","   Avg Density   ","   Avg Armor   ","   Avg Wing Size   ","   Avg Velocity   "
1,128.6604,44.190464,0.19334134,,0.0,914.54596
2,130.01428,44.12212,0.19287185,,0.0,915.3935
3,129.31325,44.751484,0.19252005,,0.0,913.8095
4,130.22052,45.178246,0.19208194,,0.0,912.7278
5,130.71788,46.251698,0.19167759,,0.0,912.85626
6,131.0872,46.318336,0.19196105,,0.0,913.25696
7,131.91177,47.19625,0.19107187,,0.0,912.47546
8,132.84099,46.685192,0.19068715,,0.0,917.0977
9,128.98131,46.764427,0.19296102,,0.0,917.54144
10,128.87059,47.276585,0.19304886,,0.0,916.56555
11,125.71055,46.418022,0.19291566,,0.0,919.77954
12,126.758316,45.633648,0.19318447,,0.0,923.09436
13,127.71027,45.98261,0.19299927,,0.0,924.6783
14,126.68102,45.715736,0.19321196,,0.0,922.00287
15,126.81552,47.224014,0.19287823,,0.0,921.3732
16,123.55252,46.452618,0.19176584,,0.0,921.8508
17,123.37733,47.080044,0.19195126,,0.0,917.8158
18,121.21961,46.02837,0.19096304,,0.0,916.44196
19,120.329414,46.730824,0.19118416,,0.0,915.6713
20,118.67224,47.74067,0.19170633,,0.0,914.6562
21,121.215355,47.202812,0.19196892,,0.0,920.5127
22,120.70086,46.700573,0.19215158,,0.0,920.79333
23,121.42461,48.296402,0.19206314,,0.0,915.2425
24,118.69515,47.231014,0.19193959,,0.0,919.60986
25,118.549484,47.109425,0.19160977,,0.0,923.42224
26,118.8576,47.876766,0.19107792,,0.0,918.8264
27,122.04958,48.60403,0.19040298,,0.0,919.297
28,120.47237,48.211555,0.19081609,,0.0,920.9694
29,120.84721,47.463352,0.19117309,,0.0,920.3859
30,124.253334,48.098076,0.19128296,,0.0,923.79895
31,126.844215,49.204296,0.19205123,,0.0,918.8759
32,123.98478,50.361336,0.19267082,,0.0,916.1336
33,122.04633,50.720135,0.1914195,,0.0,913.21216
34,120.53946,50.480328,0.19111218,,0.0,911.09515
35,119.574745,50.840366,0.19016786,,0.0,914.723
36,120.3793,51.08615,0.18928142,,0.0,914.7069
37,117.93215,50.694805,0.18963334,,0.0,911.9711
38,116.5356,50.89703,0.19055216,,0.0,908.28827
39,114.53108,50.66913,0.189605,,0.0,910.54333
40,115.31539,50.760113,0.18968473,,0.0,912.76276
41,111.95452,51.376743,0.19072723,,0.0,908.75836
42,110.62759,50.594692,0.19001111,,0.0,909.68097
43,109.35505,48.9954,0.187576,,0.0,915.12134
44,111.5846,49.52586,0.1880878,,0.0,916.8064
45,114.10703,49.785458,0.18707128,,0.0,913.8086
46,111.63194,50.21957,0.18656518,,0.0,914.0633
47,116.31444,50.887894,0.18625368,,0.0,915.788
48,118.849594,53.42293,0.1880133,,0.0,912.57385
49,119.440445,54.162914,0.18765937,,0.0,909.30585
50,119.49797,53.969955,0.18902755,,0.0,912.19305
51,115.98475,54.239796,0.19016269,,0.0,908.04144
52,113.86091,54.36148,0.18964645,,0.0,913.1685
53,110.76829,54.03923,0.18885529,,0.0,912.4886
54,108.769005,55.04674,0.18864954,,0.0,911.8341
55,109.54448,55.769283,0.19016019,,0.0,911.2327
56,113.15489,55.89304,0.19078256,,0.0,912.7732
57,114.37309,56.29552,0.18953152,,0.0,910.70123
58,116.20521,57.883812,0.19008906,,0.0,910.45276
59,115.320656,57.980698,0.18984257,,0.0,911.8013
60,116.705284,57.25143,0.19017625,,0.0,917.1663
61,114.89122,56.8531,0.18921763,,0.0,916.2887
62,112.749504,55.82986,0.18899873,,0.0,922.39075
63,111.1805,55.237606,0.18891461,,0.0,928.53424
64,106.91527,54.621532,0.18908244,,0.0,925.6445
65,108.03649,55.628128,0.19033399,,0.0,922.4865
66,109.56663,56.261387,0.19164465,,0.0,920.56885
67,109.118324,56.154903,0.19122928,,0.0,926.50824
68,108.929146,56.57522,0.19140299,,0.0,919.29663
69,108.082565,56.478443,0.19004162,,0.0,927.227
70,109.75846,56.012905,0.18974376,,0.0,932.45886
71,112.73859,57.299232,0.18981978,,0.0,930.1433
72,109.6035,55.818752,0.18910515,,0.0,939.9738
73,108.31957,54.678513,0.19013834,,0.0,938.4689
74,110.99981,54.741146,0.19052207,,0.0,943.1752
75,112.51977,55.96084,0.19071351,,0.0,944.4933
76,112.763084,56.467026,0.19129196,,0.0,945.564
77,113.347015,55.667355,0.19193436,,0.0,954.8897
78,107.39468,54.66182,0.19293849,,0.0,957.4624
79,110.300575,56.833683,0.19457744,,0.0,959.3117
80,111.39335,57.597,0.1948987,,0.0,960.34863
81,111.44015,55.635662,0.19125684,,0.0,957.4739
82,109.70751,55.931126,0.19102074,,0.0,953.0449
83,103.85591,55.25074,0.18991965,,0.0,947.44586
84,105.45894,54.26166,0.19125581,,0.0,957.86426
85,106.00203,52.278694,0.1895655,,0.0,959.5228
86,105.21079,54.081154,0.18986511,,0.0,953.955
87,102.28711,52.960556,0.18831217,,0.0,951.6812
88,101.38544,53.308537,0.18695353,,0.0,946.9645
89,103.906,55.321747,0.1883602,,0.0,945.7797
90,103.89497,55.28968,0.1871189,,0.0,939.6409
91,104.72124,54.355553,0.18659714,,0.0,946.79315
92,106.41511,54.24154,0.18492813,,0.0,944.79834
93,104.61708,53.77672,0.18329784,,0.0,938.6384
94,113.99873,56.34398,0.18498224,,0.0,943.8681
95,115.31075,57.932808,0.18608396,,0.0,942.9202
96,117.178505,58.13118,0.18780272,,0.0,941.9791
97,121.21967,58.60518,0.18698676,,0.0,944.8482
98,119.25913,59.74065,0.18732034,,0.0,942.7932
99,117.8239,58.99072,0.18699253,,0.0,940.46454
100,116.58408,59.15447,0.18715061,,0.0,942.4089
101,113.730965,58.809395,0.18766032,,0.0,942.20306
102,107.632095,58.670914,0.18570597,,0.0,930.66437
103,106.30424,59.009052,0.18655124,,0.0,929.32336
104,103.75426,57.83794,0.18394546,,0.0,928.2719
105,102.1243,58.627567,0.18362366,,0.0,924.7484
106,104.13839,58.955845,0.18377925,,0.0,923.71765
107,100.827034,56.827587,0.18391192,,0.0,928.1282
