"   Gen   ","   Creature ID   ","   Mass   ","   Width   ","   Density   ","   Wing Size   ","   Velocity   "
1,0,128.12138,35.224785,0.19875966,0.0,929.5504
1,1,131.69746,44.646343,0.20006214,0.0,910.70734
1,2,123.347275,45.802174,0.19109015,0.32848367,924.8198
1,3,117.23336,33.369465,0.19319242,0.0,933.26105
1,4,130.43524,39.93249,0.19950949,0.0,920.135
1,5,137.88797,48.074493,0.19189063,0.0,903.851
1,6,115.5572,39.644726,0.19492541,0.32934552,937.17786
1,7,111.37613,43.984196,0.19268243,0.0,912.0316
1,8,130.80328,50.290173,0.19644241,0.0,899.4197
1,9,119.53432,44.540874,0.19436042,0.0,910.9183
1,10,174.96024,47.509823,0.1943923,0.0,904.98035
1,11,121.806404,34.454597,0.20503134,0.0,931.0908
1,12,143.06364,45.2191,0.19917727,0.0,909.56177
1,13,125.373795,50.50401,0.18931498,0.0,898.992
1,14,135.34964,41.62685,0.1854389,0.0,916.7463
1,15,129.04633,37.67009,0.1990774,0.0,924.6598
1,16,161.85428,58.806953,0.20381543,0.0,882.3861
1,17,132.12523,40.95485,0.18281089,0.0,918.09033
1,18,135.31125,45.277615,0.18213871,0.0,909.44476
1,19,146.79733,48.063427,0.19723548,0.3397667,920.8615
1,20,131.27097,36.835133,0.19393034,0.32549527,942.6045
1,21,130.94344,39.83315,0.19110036,0.31072378,935.8699
1,22,133.53708,43.37145,0.18820842,0.0,913.2571
1,23,120.04328,49.187798,0.18914253,0.0,901.6244
1,24,123.76795,37.680668,0.19718522,0.0,924.6387
1,25,146.70448,52.485912,0.19416372,0.0,895.0282
1,26,126.15921,55.772354,0.18544874,0.0,888.4553
1,27,132.41261,46.78916,0.19296534,0.0,906.4217
1,28,129.67937,36.52618,0.19353124,0.0,926.94763
1,29,96.9406,45.84777,0.19111405,0.0,908.30444
1,30,118.29961,43.969696,0.1954854,0.0,912.0606
1,31,126.801414,47.81831,0.19600248,0.0,904.3634
1,32,128.21657,46.32356,0.18763937,0.0,907.3529
1,33,136.18672,41.770885,0.1909632,0.0,916.45825
1,34,116.03626,41.071045,0.19326359,0.32726616,934.2212
1,35,122.18113,42.597633,0.1995963,0.31855822,930.73267
1,36,144.87215,47.58144,0.18949726,0.0,904.8371
1,37,118.65459,36.245728,0.19355066,0.0,927.50854
1,38,109.13193,45.574734,0.1965078,0.0,908.8505
1,39,128.49763,41.53362,0.18796946,0.0,916.93274
1,40,118.02323,43.44502,0.19707426,0.0,913.11
1,41,128.25247,49.493576,0.19914716,0.0,901.0128
1,42,132.2552,39.07119,0.2026258,0.0,921.8576
1,43,141.99725,44.301826,0.19480152,0.0,911.39636
1,44,111.12354,37.863903,0.1804026,0.0,924.2722
1,45,125.978615,47.375694,0.19188084,0.31003207,920.7502
