"   Gen   ","   Food at Start   ","   Food at End   ","   Food Consumed   "
1,100,96,4
2,100,92,8
3,100,91,9
4,100,93,7
5,100,91,9
6,100,88,12
7,100,83,17
8,100,82,18
9,100,80,20
10,100,74,26
11,100,75,25
12,100,75,25
13,100,70,30
14,100,70,30
15,100,61,39
16,100,65,35
17,100,53,47
18,100,47,53
19,100,48,52
20,100,38,62
21,100,38,62
22,100,59,41
23,100,42,58
24,100,38,62
25,100,53,47
26,100,52,48
27,100,47,53
28,100,48,52
29,100,33,67
30,100,52,48
31,100,37,63
32,100,42,58
33,100,45,55
34,100,41,59
35,100,43,57
36,100,32,68
37,100,46,54
38,100,36,64
39,100,40,60
40,100,42,58
41,100,33,67
42,100,36,64
43,100,37,63
44,100,40,60
45,100,33,67
46,100,48,52
47,100,41,59
48,100,34,66
49,100,36,64
50,100,38,62
51,100,41,59
52,100,46,54
53,100,46,54
54,100,44,56
55,100,42,58
56,100,36,64
57,100,36,64
58,100,43,57
59,100,29,71
60,100,37,63
61,100,47,53
62,100,52,48
63,100,44,56
64,100,41,59
65,100,43,57
66,100,42,58
67,100,38,62
68,100,45,55
69,100,44,56
70,100,28,72
71,100,44,56
72,100,46,54
73,100,50,50
74,100,29,71
75,100,43,57
76,100,38,62
77,100,43,57
78,100,37,63
79,100,39,61
80,100,39,61
81,100,34,66
82,100,29,71
83,100,42,58
84,100,42,58
85,100,43,57
86,100,41,59
87,100,38,62
88,100,41,59
89,100,31,69
90,100,36,64
91,100,39,61
92,100,40,60
93,100,38,62
94,100,45,55
95,100,42,58
96,100,35,65
97,100,36,64
98,100,43,57
99,100,44,56
100,100,45,55
101,100,38,62
102,100,39,61
103,100,30,70
104,100,35,65
105,100,37,63
106,100,44,56
107,100,32,68
108,100,27,73
109,100,25,75
110,100,37,63
111,100,27,73
112,100,45,55
113,100,30,70
114,100,36,64
115,100,27,73
116,100,36,64
117,100,40,60
118,100,44,56
119,100,31,69
120,100,42,58
121,100,43,57
122,100,30,70
123,100,38,62
124,100,30,70
125,100,38,62
126,100,54,46
127,100,43,57
128,100,33,67
129,100,53,47
130,100,41,59
131,100,37,63
132,100,44,56
133,100,48,52
134,100,43,57
135,100,47,53
136,100,45,55
137,100,43,57
138,100,36,64
139,100,37,63
140,100,41,59
141,100,41,59
142,100,54,46
143,100,47,53
144,100,52,48
145,100,48,52
146,100,43,57
147,100,49,51
148,100,44,56
149,100,44,56
150,100,53,47
151,100,44,56
152,100,43,57
153,100,54,46
154,100,46,54
155,100,49,51
156,100,46,54
157,100,45,55
158,100,51,49
159,100,40,60
160,100,45,55
161,100,49,51
162,100,39,61
163,100,37,63
164,100,49,51
165,100,52,48
166,100,45,55
167,100,48,52
168,100,50,50
169,100,50,50
170,100,52,48
171,100,46,54
172,100,49,51
173,100,29,71
