"   Gen   ","   Creature ID   ","   Mass   ","   Width   ","   Density   ","   Wing Size   ","   Velocity   "
1,0,152.99046,49.42572,0.20631306,0.0,901.14856
1,1,110.08249,41.67232,0.18658559,0.0,916.65533
1,2,133.3085,38.907486,0.19614185,0.0,922.18506
1,3,138.52194,44.54922,0.1933038,0.0,910.90155
1,4,140.57036,39.865402,0.2002717,0.0,920.26917
1,5,117.65587,57.287308,0.18552084,0.0,885.4254
1,6,143.2065,52.16281,0.19095765,0.0,895.6744
1,7,114.95529,42.663967,0.19896036,0.0,914.67206
1,8,112.9254,35.14946,0.18790008,0.0,929.70105
1,9,134.92732,45.30269,0.18789501,0.0,909.39465
1,10,132.65468,49.32671,0.198077,0.3497191,918.8325
1,11,131.04613,43.127747,0.18945204,0.0,913.7445
1,12,137.18729,54.20439,0.19353378,0.3267012,907.9263
1,13,110.24294,38.606556,0.19511373,0.0,922.78687
1,14,156.56213,45.997856,0.20311944,0.0,908.0043
1,15,122.99043,42.306046,0.18771942,0.0,915.38794
1,16,141.31119,47.23704,0.18590303,0.0,905.52594
1,17,126.86162,49.849636,0.19064714,0.0,900.3007
1,18,148.04329,42.81842,0.1926604,0.0,914.36316
1,19,134.50957,43.9246,0.19900188,0.0,912.1508
1,20,137.30925,42.684998,0.1890888,0.0,914.63
1,21,117.585686,39.89861,0.18409646,0.0,920.20276
1,22,142.2084,48.656986,0.19675845,0.3113428,918.2532
1,23,129.1426,42.32561,0.20338832,0.0,915.34875
1,24,125.035225,43.769417,0.19314586,0.31418628,928.1705
1,25,159.16684,55.26796,0.19116771,0.0,889.4641
1,26,131.00464,36.96194,0.20172063,0.0,926.0761
1,27,116.4158,39.72506,0.20267305,0.0,920.54987
1,28,133.4656,40.56327,0.1947078,0.0,918.8735
1,29,120.55031,39.731915,0.19094488,0.0,920.5362
1,30,121.49216,48.159096,0.18195063,0.0,903.6818
1,31,106.32238,34.931053,0.19610697,0.35191393,947.7336
1,32,121.98918,46.25727,0.1909964,0.46033853,930.5024
1,33,112.238716,41.464706,0.18806042,0.0,917.07056
1,34,124.16344,43.702858,0.19580895,0.31107903,928.14825
1,35,140.84903,47.86114,0.18255118,0.0,904.2777
1,36,99.38037,48.759453,0.18251304,0.0,902.4811
1,37,109.108475,34.007206,0.19279519,0.0,931.9856
1,38,138.68967,54.51363,0.19011803,0.0,890.9727
1,39,117.783485,47.70215,0.17711695,0.0,904.5957
1,40,108.739456,36.23217,0.18666631,0.31104505,943.0879
1,41,110.07492,40.137173,0.18884094,0.0,919.72565
1,42,121.51985,39.996048,0.19753349,0.0,920.00793
1,43,133.76283,57.025963,0.1988254,0.0,885.94806
1,44,130.33582,46.33168,0.20509236,0.0,907.3367
1,45,131.82254,49.283455,0.19721106,0.0,901.4331
1,46,123.16096,45.312046,0.19959812,0.0,909.3759
1,47,142.34087,60.883804,0.18878856,0.0,878.2324
1,48,109.07183,43.00937,0.19908705,0.0,913.98126
1,49,139.1334,45.416862,0.19580294,0.0,909.16626
2,50,144.55531,48.71984,0.1989764,0.0,902.5603
2,51,155.16292,58.10492,0.19380336,0.0,883.79016
2,52,126.16795,45.89374,0.19942674,0.0,908.2125
2,53,122.95482,40.954224,0.182446,0.0,918.09155
2,54,152.36545,42.81842,0.19576925,0.0,914.36316
2,55,145.23494,47.86114,0.18097362,0.0,904.2777
2,56,118.749016,58.087086,0.18592167,0.0,883.8258
2,57,151.7862,41.398354,0.19847417,0.0,917.2033
2,58,118.438835,42.848923,0.19179119,0.0,914.3021
2,59,130.46365,47.684193,0.19420578,0.0,904.6316
2,60,141.69897,45.30269,0.18835555,0.0,909.39465
2,61,146.82024,44.952934,0.19573408,0.0,910.0941
2,62,140.06834,49.845074,0.19901358,0.35092336,933.349
2,63,121.82611,39.731915,0.19210353,0.0,920.5362
2,64,130.92563,53.14651,0.1996723,0.0,893.707
2,65,113.90445,35.14946,0.18757811,0.3290876,946.15546
2,66,143.07368,57.679913,0.19837154,0.0,884.6402
2,67,140.56609,49.421307,0.19510691,0.0,901.1574
2,68,125.9505,44.212494,0.19366427,0.0,911.575
2,69,149.07216,53.84162,0.19774172,0.31802857,908.2182
2,70,121.43717,49.474457,0.18664831,0.0,901.0511
2,71,131.58481,44.33968,0.20072089,0.31757835,927.1995
2,72,112.28479,43.541195,0.18905193,0.0,912.9176
2,73,116.3912,36.642315,0.20576157,0.0,926.7154
2,74,112.830124,37.94453,0.19099621,0.0,924.11096
2,75,129.3036,45.845818,0.1876239,0.0,908.30835
2,76,162.2887,55.78991,0.1948339,0.31222063,904.0312
2,77,111.39406,48.617134,0.19439074,0.0,902.76575
2,78,108.18748,39.672504,0.1821079,0.0,920.65497
2,79,136.5754,36.803165,0.19855514,0.0,926.3937
2,80,120.44379,43.689243,0.18768919,0.0,912.6215
2,81,123.16398,41.09773,0.18788141,0.0,917.80457
2,82,133.23607,51.63585,0.1985211,0.0,896.7283
2,83,114.97902,39.03314,0.18550561,0.0,921.9337
2,84,154.9101,48.006966,0.18333228,0.0,903.9861
2,85,123.170685,45.92288,0.18192829,0.0,908.15424
2,86,114.31304,42.5032,0.19927333,0.40740305,935.3638
2,87,123.15374,35.98381,0.18754369,0.38618255,947.3415
2,88,129.07166,40.85071,0.20347169,0.0,918.2986
2,89,127.066574,39.8741,0.19090194,0.0,920.25183
2,90,121.196,44.83517,0.19286205,0.0,910.32965
2,91,128.91159,46.19157,0.19758888,0.0,907.6169
2,92,109.11117,44.71799,0.19570638,0.0,910.564
2,93,128.5372,38.872074,0.19400153,0.35257375,939.8845
2,94,109.80641,44.8722,0.1868005,0.4634059,967.52356
2,95,122.69139,41.891766,0.18762587,0.0,916.2165
2,96,158.30688,51.23928,0.19084594,0.0,897.5214
2,97,110.5663,37.381668,0.18685955,0.31669903,941.07166
2,98,114.04101,42.582924,0.19190395,0.0,914.83417
2,99,114.41293,39.68486,0.1855671,0.37292457,973.2954
2,100,112.30413,43.918827,0.19449538,0.0,912.16235
3,101,121.83725,41.110134,0.19389133,0.0,917.7797
3,102,136.88663,44.33968,0.20045993,0.34632286,928.6368
3,103,128.54451,47.679516,0.18979548,0.321271,920.7045
3,104,142.77425,42.005077,0.20331012,0.3249791,932.23883
3,105,115.74171,45.38616,0.18906236,0.0,909.22766
3,106,116.16558,35.562523,0.18137619,0.3067851,944.2142
3,107,116.22302,39.58881,0.19220713,0.0,920.8224
3,108,154.7057,47.980835,0.1861698,0.0,904.0383
3,109,135.64552,44.106106,0.19348875,0.0,911.7878
3,110,114.24902,39.3038,0.19019835,0.3057496,936.6799
3,111,157.07019,53.121758,0.18491006,0.0,893.7565
3,112,154.265,52.540775,0.18693085,0.0,894.91846
3,113,110.98262,41.61075,0.19639641,0.0,916.7785
3,114,125.15346,45.92288,0.18322834,0.0,908.15424
3,115,112.50581,39.672504,0.18135583,0.0,920.65497
3,116,129.272,41.787136,0.1893015,0.30359748,931.6056
3,117,124.89213,39.8741,0.19206701,0.0,920.25183
3,118,125.69287,62.738277,0.18433209,0.0,874.52344
3,119,135.28593,52.093475,0.19800287,0.30906242,911.2662
3,120,154.29333,52.44491,0.20286013,0.0,895.11017
3,121,114.50914,43.953407,0.18965499,0.0,912.0932
3,122,137.62648,38.94012,0.20124292,0.3297243,938.60596
3,123,125.78163,45.967396,0.19875817,0.0,908.0652
3,124,119.5112,34.264217,0.18361244,0.0,931.47156
3,125,104.953064,37.932724,0.18965775,0.0,924.1345
3,126,123.55654,43.94066,0.18037383,0.0,912.11865
3,127,142.7489,46.233337,0.18968034,0.0,907.5333
3,128,122.44881,52.86393,0.19644102,0.0,894.27216
3,129,154.58397,47.083054,0.20501933,0.0,905.83386
3,130,115.145195,39.03314,0.18269622,0.0,921.9337
3,131,115.11519,42.762558,0.18853115,0.0,914.47485
3,132,151.87372,42.81842,0.1938089,0.0,914.36316
3,133,135.56593,51.89083,0.19535369,0.0,896.2183
3,134,125.69144,44.332474,0.19254436,0.0,911.3351
3,135,155.37344,44.7003,0.20345534,0.0,910.5994
3,136,93.918625,34.68665,0.18170369,0.0,930.6267
3,137,124.914696,41.488403,0.19752765,0.0,917.0232
3,138,134.91902,38.285538,0.19420767,0.0,923.42896
3,139,124.84235,39.818027,0.18584806,0.0,920.36395
3,140,114.94434,35.266594,0.206084,0.0,929.4668
3,141,112.93898,44.832428,0.19697012,0.36282074,928.4762
3,142,119.585365,39.92593,0.19323461,0.0,920.14813
3,143,132.29199,46.22268,0.19246173,0.30231395,922.67035
3,144,107.11592,42.43143,0.19089958,0.30804357,930.5393
3,145,122.53102,48.272007,0.19292478,0.39008743,941.1917
3,146,135.48042,36.294765,0.19049567,0.0,927.41046
3,147,135.7176,49.522232,0.1932375,0.0,900.95557
3,148,148.26509,54.334316,0.19112864,0.33730996,908.19684
3,149,122.625885,41.550552,0.19420387,0.35662973,934.7304
3,150,116.87673,52.401638,0.19745056,0.0,895.1967
3,151,132.8731,47.436775,0.20343693,0.0,905.12646
3,152,153.94844,51.77011,0.18204841,0.0,896.4598
4,153,143.54256,40.188965,0.19576281,0.0,919.6221
4,154,127.92854,44.52172,0.19850014,0.0,910.95654
4,155,117.99459,51.61688,0.17246349,0.46194273,919.8634
4,156,116.947624,34.805973,0.18545112,0.0,930.38806
4,157,154.06999,45.121998,0.18510613,0.0,909.756
4,158,121.68271,47.392635,0.18723105,0.0,905.2147
4,159,155.40161,52.44491,0.20243697,0.32018313,911.1193
4,160,134.09215,56.657257,0.18963689,0.0,886.6855
4,161,106.86753,44.23918,0.18337092,0.0,911.5216
4,162,120.926254,36.05069,0.1809249,0.0,927.8986
4,163,151.89925,47.535614,0.20550652,0.0,904.9288
4,164,134.84119,43.174004,0.18772879,0.0,913.652
4,165,118.5222,41.42744,0.19148897,0.0,917.14514
4,166,94.589615,36.022808,0.19399826,0.0,927.9544
4,167,118.91013,35.317074,0.19656672,0.0,929.36584
4,168,138.23405,44.33968,0.2011655,0.34632286,928.6368
4,169,135.9051,42.897285,0.18670805,0.0,914.20544
4,170,116.94363,43.9144,0.19112597,0.0,912.1712
4,171,116.547844,46.194088,0.18764299,0.0,907.6118
4,172,107.39891,42.05331,0.18578717,0.31288433,931.5376
4,173,102.12138,35.014774,0.18328175,0.34172875,947.0569
4,174,163.69261,45.26239,0.19873497,0.0,909.4752
4,175,118.234474,35.544697,0.20569745,0.0,928.9106
4,176,159.97012,46.75443,0.19336013,0.0,906.49115
4,177,110.94055,40.582684,0.18812549,0.0,918.83466
4,178,158.42639,57.2815,0.19697638,0.0,885.437
4,179,128.44417,52.956123,0.18759593,0.0,894.08777
4,180,146.16196,39.898994,0.20300466,0.0,920.202
4,181,125.68592,51.49117,0.19662164,0.0,897.01764
4,182,127.00603,38.65231,0.186121,0.0,922.6954
4,183,139.23581,52.093475,0.19892626,0.30906242,911.2662
4,184,112.52733,41.644825,0.1981482,0.34735468,934.07806
4,185,114.38568,42.842884,0.19564173,0.3548916,932.0588
4,186,135.36476,42.81993,0.18849754,0.48907903,958.3275
4,187,144.25243,60.269802,0.19716603,0.0,879.4604
4,188,125.80795,42.78067,0.20143363,0.0,914.43866
4,189,123.75177,42.576084,0.193661,0.0,914.84784
4,190,135.64621,45.260796,0.19002627,0.0,909.4784
