"   Gen   ","   Food at Start   ","   Food at End   ","   Food Consumed   "
1,100,95,5
2,100,94,6
3,100,95,5
4,100,92,8
5,100,89,11
6,100,95,5
7,100,87,13
8,100,86,14
9,100,54,46
10,100,59,41
11,100,77,23
12,100,81,19
13,100,68,32
14,100,61,39
15,100,44,56
16,100,56,44
17,100,50,50
18,100,47,53
19,100,35,65
20,100,36,64
21,100,56,44
22,100,70,30
23,100,50,50
24,100,50,50
25,100,42,58
26,100,45,55
27,100,45,55
28,100,50,50
29,100,38,62
30,100,62,38
31,100,39,61
32,100,60,40
33,100,37,63
34,100,30,70
35,100,38,62
36,100,42,58
37,100,45,55
38,100,46,54
39,100,38,62
40,100,43,57
41,100,44,56
42,100,46,54
43,100,36,64
44,100,38,62
45,100,36,64
46,100,52,48
47,100,44,56
48,100,38,62
49,100,36,64
50,100,42,58
51,100,31,69
52,100,37,63
53,100,42,58
54,100,48,52
55,100,54,46
56,100,45,55
57,100,51,49
58,100,33,67
59,100,41,59
60,100,42,58
61,100,53,47
62,100,48,52
63,100,54,46
64,100,41,59
65,100,46,54
66,100,36,64
67,100,39,61
68,100,46,54
69,100,48,52
70,100,46,54
71,100,50,50
72,100,52,48
73,100,52,48
74,100,53,47
75,100,47,53
76,100,48,52
77,100,30,70
78,100,37,63
79,100,47,53
80,100,52,48
81,100,47,53
82,100,56,44
83,100,29,71
84,100,33,67
85,100,37,63
86,100,45,55
87,100,44,56
88,100,27,73
89,100,27,73
90,100,46,54
91,100,39,61
92,100,43,57
93,100,38,62
94,100,35,65
95,100,40,60
96,100,47,53
97,100,55,45
98,100,48,52
99,100,48,52
100,100,58,42
101,100,35,65
102,100,43,57
