"   Gen   ","   Creature ID   ","   Mass   ","   Width   ","   Density   ","   Armor   ","   Wing #   ","   Wing Size   ","   Antennae #   ","   Color   ","   Velocity   ","   Acceleration   ","   Max HP   "
1,0,154.11484,43.6422,77.350174,7.9939246,,,,,712.7156,,100.0
1,1,135.26382,43.943947,78.89691,7.9605656,,,,,712.1121,,100.0
1,2,137.17693,41.257137,82.11667,9.007106,,,,,732.7855,,100.0
1,3,151.0168,45.442585,81.77262,8.039457,,,,,709.1148,,100.0
1,4,144.70717,41.703796,72.93266,7.9775715,,,,,716.5924,,100.0
1,5,132.75253,56.74871,74.38274,8.005164,,,,,686.50256,,100.0
1,6,110.82988,40.969242,79.49453,8.005392,,,,,718.0615,,100.0
1,7,128.91692,49.26171,78.05135,7.973954,,,,,701.47656,,100.0
1,8,158.06413,45.962643,80.4267,7.9709086,,,,,708.0747,,100.0
1,9,132.39804,37.27222,72.81681,7.9794025,,,,,725.45557,,100.0
1,10,127.907104,54.351944,77.10979,7.9946604,,,,,691.29614,,100.0
1,11,138.47273,38.905678,74.38114,8.013384,,,,,722.18866,,100.0
1,12,104.50162,36.2052,87.193985,8.999026,,,,,743.0996,,100.0
1,13,137.46878,46.051823,79.23443,8.034204,,,,,707.89636,,100.0
1,14,109.3082,45.919727,76.000786,8.006427,,,,,708.1605,,100.0
1,15,118.0057,51.396423,78.80792,8.001442,,,,,697.20715,,100.0
1,16,106.7206,46.48965,76.58163,8.011195,,,,,707.0207,,100.0
1,17,123.3125,42.29717,74.414444,7.972876,,,,,715.40564,,100.0
1,18,148.03322,46.769318,78.34966,7.975407,,,,,706.46136,,100.0
1,19,157.95724,44.241592,88.0467,8.993272,,,,,729.90576,,100.0
1,20,116.77434,40.190365,84.86566,8.956441,,,,,742.63214,,100.0
1,21,137.20638,38.30829,77.29424,7.9849954,,,,,723.3834,,100.0
1,22,126.0542,33.582096,79.694046,7.9771132,,,,,732.8358,,100.0
1,23,107.9663,40.060097,78.35645,7.9946275,,,,,719.8798,,100.0
1,24,129.80348,50.977623,77.68418,7.959731,,,,,698.04474,,100.0
1,25,118.34923,37.083595,78.87639,7.9929504,,,,,725.8328,,100.0
1,26,123.50893,52.09854,79.297966,8.00769,,,,,695.8029,,100.0
1,27,110.214905,42.07472,72.87928,8.011009,,,,,715.8506,,100.0
1,28,127.34937,42.75784,76.37431,7.9898443,,,,,714.4843,,100.0
1,29,158.68983,56.67424,77.96163,7.9881487,,,,,686.6515,,100.0
1,30,120.88579,47.304367,77.74156,8.004702,,,,,705.39124,,100.0
1,31,157.3216,50.60157,98.03402,9.977119,,,,,737.8423,,100.0
1,32,131.07782,52.45957,78.46564,8.013158,,,,,695.0809,,100.0
1,33,149.68243,49.835617,81.24561,8.022753,,,,,700.32874,,100.0
1,34,124.91702,49.243767,75.406525,7.9821463,,,,,701.51245,,100.0
2,35,121.76888,49.243767,75.72288,7.986661,,,,,701.51245,,100.0
2,36,115.950165,49.5983,89.6448,8.996216,,,,,717.3279,,100.0
2,37,117.660645,51.396423,78.78702,7.9948335,,,,,697.20715,,100.0
2,38,124.22832,51.396423,78.60659,8.008237,,,,,697.20715,,100.0
2,39,128.1827,51.592777,90.2815,9.003801,,,,,712.33527,,100.0
2,40,123.441574,56.568497,90.408844,9.991669,,,,,719.76733,,100.0
2,41,115.41699,50.89782,78.19508,8.000483,,,,,698.20435,,100.0
