"   Gen   ","   Creature ID   ","   Ticks on Algae   ","   Ticks on Water   ","   Ticks on Rock   ","   Total Lifetime   "
1,0,0,0,,1350
1,1,0,0,,907
1,2,0,395,,1201
1,3,0,229,,1196
1,4,0,834,,1473
1,5,0,43,,1500
1,6,0,0,,1077
1,7,0,1088,,1500
1,8,0,269,,1500
1,9,0,885,,1500
1,10,0,313,,313
1,11,0,232,,268
1,12,0,519,,1500
1,13,0,330,,1296
1,14,0,1033,,1496
1,15,0,1385,,1385
1,16,0,0,,1500
1,17,0,377,,775
1,18,0,1300,,1435
1,19,0,799,,1500
1,20,0,0,,522
1,21,0,0,,608
1,22,0,925,,1500
1,23,0,159,,308
1,24,0,930,,1500
1,25,0,0,,834
1,26,0,914,,914
1,27,0,1088,,1500
1,28,0,1038,,1038
1,29,0,991,,1386
1,30,0,0,,1500
1,31,0,0,,154
1,32,0,928,,1500
1,33,0,0,,1286
1,34,0,750,,1500
2,35,0,331,,1501
2,36,0,922,,1501
2,37,0,1101,,1501
2,38,0,970,,1501
2,39,0,0,,327
2,40,0,261,,1501
