"   Gen   ","   Creature ID   ","   Total Energy Space   ","   Total Energy Consumed   ","   Locomotion Space   ","   Locomotion Used   ","   Reproduction Space   ","   Reproduction Used   ","   Reproduction Passed   ","   Health Space   ","   Health Used   ","   Total Energy Used   "
1,0,0.0,0.0,15223.286,3274.597,32896.152,0.0,0.0,25480.865,0.0,3274.597
1,1,0.0,60000.0,7393.274,7457.0513,32879.523,59.853584,3018.3223,25647.223,100.0,7616.905
1,2,0.0,0.0,29743.94,3026.2876,21583.822,0.0,0.0,23497.162,0.0,3026.2876
1,3,0.0,0.0,25140.752,6605.687,25381.447,0.0,0.0,25479.102,0.0,6605.687
1,4,0.0,0.0,1883.5437,1883.553,39581.67,0.0,0.0,19069.318,0.0,1883.553
1,5,0.0,0.0,10740.698,5564.98,58849.395,0.0,0.0,669.3365,0.0,5564.98
1,6,0.0,0.0,4115.6226,2710.806,37157.6,0.0,0.0,24890.113,0.0,2710.806
1,7,0.0,0.0,39680.16,5649.113,23891.2,0.0,0.0,5190.078,0.0,5649.113
1,8,0.0,40000.0,50666.375,6997.1865,580.0831,9.923275,496.0704,11223.45,80.0,7087.11
1,9,0.0,40000.0,4876.9185,6934.8564,53424.246,20.115635,1008.0674,2434.8376,800.0,7754.972
1,10,0.0,0.0,16257.875,6005.1616,27075.453,0.0,0.0,10811.047,0.0,6005.1616
1,11,0.0,0.0,15865.38,5633.5264,6638.682,0.0,0.0,39824.61,0.0,5633.5264
1,12,0.0,20000.0,26112.355,7400.9595,15698.295,19.867928,994.1384,13323.954,400.0,7820.8276
1,13,0.0,0.0,5476.7256,5476.807,50562.57,0.0,0.0,12560.842,0.0,5476.807
1,14,0.0,0.0,32080.832,4268.0786,4123.361,0.0,0.0,32595.676,0.0,4268.0786
1,15,0.0,0.0,4739.313,4741.6675,23251.994,0.0,0.0,37614.113,0.0,4741.6675
1,16,0.0,0.0,33795.05,4596.735,1743.6519,0.0,0.0,27905.45,0.0,4596.735
1,17,0.0,0.0,34617.027,3694.8335,32104.664,0.0,0.0,2017.0845,0.0,3694.8335
1,18,0.0,0.0,17258.008,3017.329,32370.027,0.0,0.0,13261.124,0.0,3017.329
1,19,0.0,60000.0,31196.965,5673.8677,10745.265,19.830608,994.3882,12269.02,400.0,6093.698
1,20,0.0,0.0,19618.646,4392.128,48769.66,0.0,0.0,9267.984,0.0,4392.128
1,21,0.0,0.0,27764.068,4793.2935,11796.838,0.0,0.0,32140.377,0.0,4793.2935
1,22,0.0,20000.0,20978.047,6814.2603,38279.04,19.8278,994.2841,9081.85,475.0,7309.088
1,23,0.0,0.0,41368.676,5131.015,18072.05,0.0,0.0,14482.429,0.0,5131.015
1,24,0.0,20000.0,17820.24,5497.113,22097.807,49.884888,2502.6753,14821.795,200.0,5746.9976
1,25,0.0,0.0,16124.988,5477.22,14594.249,0.0,0.0,30771.889,0.0,5477.22
1,26,0.0,0.0,1356.6287,1358.6825,53825.51,0.0,0.0,7161.667,0.0,1358.6825
1,27,0.0,0.0,8282.115,2981.8223,37726.438,0.0,0.0,12344.359,0.0,2981.8223
1,28,0.0,0.0,25470.6,2532.8523,21185.098,0.0,0.0,19693.11,0.0,2532.8523
1,29,0.0,0.0,66340.375,6732.107,7523.318,0.0,0.0,6043.569,0.0,6732.107
1,30,0.0,0.0,30255.988,3716.4978,11176.171,0.0,0.0,22404.914,0.0,3716.4978
1,31,0.0,0.0,23255.33,5683.6465,719.9899,0.0,0.0,50674.58,0.0,5683.6465
1,32,0.0,0.0,25925.914,5321.049,28916.334,0.0,0.0,15797.962,0.0,5321.049
1,33,0.0,0.0,14634.604,2715.656,30515.764,0.0,0.0,32835.215,0.0,2715.656
1,34,0.0,0.0,29065.105,5655.695,6339.486,0.0,0.0,28791.246,0.0,5655.695
2,35,0.0,0.0,23861.006,6081.8433,13866.146,0.0,0.0,15013.987,0.0,6081.8433
2,36,0.0,0.0,21946.988,643.26044,11556.403,0.0,0.0,16094.881,0.0,643.26044
2,37,0.0,20000.0,8703.558,5702.561,1571.8796,29.676136,1475.1633,48151.145,200.0,5932.2373
2,38,0.0,0.0,18472.502,711.7446,11155.405,0.0,0.0,26161.957,0.0,711.7446
2,39,0.0,0.0,15824.184,6213.1553,25023.727,0.0,0.0,16168.853,0.0,6213.1553
2,40,0.0,0.0,8200.242,1229.0631,41653.484,0.0,0.0,16001.819,0.0,1229.0631
2,41,0.0,80000.0,24303.291,7616.064,19441.525,138.69928,7023.0625,9450.125,400.0,8154.763
2,42,0.0,40000.0,21927.844,6657.245,23640.955,138.68973,6974.0254,11618.799,100.0,6895.935
2,43,0.0,0.0,3408.1633,3410.1587,53929.797,0.0,0.0,2645.8018,0.0,3410.1587
2,44,0.0,0.0,4180.4805,2315.7578,54120.08,0.0,0.0,2795.7644,0.0,2315.7578
